"Begin Time - msec","End Time - msec","Duration - msec","RH_phase","File","File Path"
40528,44811,4283,"rest","antwerp2a_run2_segm.eaf"
44811,48622,3811,"rest","antwerp2a_run2_segm.eaf"
48622,53617,4995,"rest","antwerp2a_run2_segm.eaf"
60415,62122,1707,"rest","antwerp2a_run2_segm.eaf"
65830,67528,1698,"rest","antwerp2a_run2_segm.eaf"
75622,78452,2830,"rest","antwerp2a_run2_segm.eaf"

2098,2888,790,"prep","antwerp2b_run1_segm.eaf"
2888,5802,2914,"stroke","antwerp2b_run1_segm.eaf"
5802,6493,691,"retr","antwerp2b_run1_segm.eaf"
19654,20913,1259,"stroke","antwerp2b_run1_segm.eaf"
20913,21493,580,"hold","antwerp2b_run1_segm.eaf"
21493,22456,963,"retr","antwerp2b_run1_segm.eaf"
26382,27259,877,"prep","antwerp2b_run1_segm.eaf"
27259,27580,321,"stroke","antwerp2b_run1_segm.eaf"
27580,28086,506,"retr","antwerp2b_run1_segm.eaf"
44283,45197,914,"prep","antwerp2b_run1_segm.eaf"
45197,49753,4556,"stroke","antwerp2b_run1_segm.eaf"
49753,50283,530,"retr","antwerp2b_run1_segm.eaf"
50888,51148,260,"prep","antwerp2b_run1_segm.eaf"
51148,54135,2987,"stroke","antwerp2b_run1_segm.eaf"
54135,55814,1679,"hold","antwerp2b_run1_segm.eaf"
55814,56407,593,"retr","antwerp2b_run1_segm.eaf"
76272,86817,10545,"stroke","antwerp2b_run1_segm.eaf"

5329,6011,682,"prep","antwerp2b_run2_segm.eaf"
6011,8909,2898,"stroke","antwerp2b_run2_segm.eaf"
8909,9409,500,"retr","antwerp2b_run2_segm.eaf"
9409,13500,4091,"rest","antwerp2b_run2_segm.eaf"
13500,21522,8022,"stroke","antwerp2b_run2_segm.eaf"
21522,26795,5273,"stroke","antwerp2b_run2_segm.eaf"
26795,27340,545,"stroke","antwerp2b_run2_segm.eaf"
50545,50613,68,"prep","antwerp2b_run2_segm.eaf"
50613,52409,1796,"stroke","antwerp2b_run2_segm.eaf"
52409,52911,502,"retr","antwerp2b_run2_segm.eaf"

21592,22222,630,"prep","antwerp3a_run1_segm.eaf"
22222,23950,1728,"hold","antwerp3a_run1_segm.eaf"
23950,25172,1222,"stroke","antwerp3a_run1_segm.eaf"
25172,26061,889,"hold","antwerp3a_run1_segm.eaf"
26061,28506,2445,"stroke","antwerp3a_run1_segm.eaf"
28506,29530,1024,"stroke","antwerp3a_run1_segm.eaf"
29530,30592,1062,"stroke","antwerp3a_run1_segm.eaf"
30592,31271,679,"prep","antwerp3a_run1_segm.eaf"
31271,32950,1679,"stroke","antwerp3a_run1_segm.eaf"
32950,39061,6111,"stroke","antwerp3a_run1_segm.eaf"
39061,40086,1025,"retr","antwerp3a_run1_segm.eaf"

1968,2453,485,"prep","antwerp3a_run2_segm.eaf"
2453,8359,5906,"stroke","antwerp3a_run2_segm.eaf"
8359,9140,781,"retr","antwerp3a_run2_segm.eaf"
9140,10281,1141,"rest","antwerp3a_run2_segm.eaf"
10281,10796,515,"prep","antwerp3a_run2_segm.eaf"
10796,15609,4813,"stroke","antwerp3a_run2_segm.eaf"
15609,18078,2469,"stroke","antwerp3a_run2_segm.eaf"
18078,29562,11484,"stroke","antwerp3a_run2_segm.eaf"
29562,32578,3016,"stroke","antwerp3a_run2_segm.eaf"
32578,33109,531,"retr","antwerp3a_run2_segm.eaf"
33109,37203,4094,"rest","antwerp3a_run2_segm.eaf"
37203,37750,547,"prep","antwerp3a_run2_segm.eaf"
37750,39458,1708,"stroke","antwerp3a_run2_segm.eaf"
39458,40093,635,"prep","antwerp3a_run2_segm.eaf"
40093,44937,4844,"stroke","antwerp3a_run2_segm.eaf"
44937,47977,3040,"stroke","antwerp3a_run2_segm.eaf"
