"Begin Time - msec","End Time - msec","Duration - msec","LH_phase","File","File Path"
50545,52911,2366,"rest","antwerp2b_run2_segm.eaf"

21592,22135,543,"rest","antwerp3a_run1_segm.eaf"
22135,23012,877,"prep","antwerp3a_run1_segm.eaf"
23012,23617,605,"stroke","antwerp3a_run1_segm.eaf"
23617,25012,1395,"hold","antwerp3a_run1_segm.eaf"
25012,26061,1049,"retr","antwerp3a_run1_segm.eaf"
26061,28506,2445,"rest","antwerp3a_run1_segm.eaf"
28506,29530,1024,"stroke","antwerp3a_run1_segm.eaf"
29530,30592,1062,"rest","antwerp3a_run1_segm.eaf"
30592,31259,667,"prep","antwerp3a_run1_segm.eaf"
31259,32950,1691,"stroke","antwerp3a_run1_segm.eaf"
32950,36481,3531,"stroke","antwerp3a_run1_segm.eaf"
36481,37135,654,"retr","antwerp3a_run1_segm.eaf"
37135,40086,2951,"rest","antwerp3a_run1_segm.eaf"

1968,8359,6391,"rest","antwerp3a_run2_segm.eaf"
8359,9156,797,"prep","antwerp3a_run2_segm.eaf"
9156,10281,1125,"hold","antwerp3a_run2_segm.eaf"
10281,12109,1828,"retr","antwerp3a_run2_segm.eaf"
12109,15609,3500,"rest","antwerp3a_run2_segm.eaf"
15609,16062,453,"prep","antwerp3a_run2_segm.eaf"
16062,18078,2016,"stroke","antwerp3a_run2_segm.eaf"
18078,20796,2718,"rest","antwerp3a_run2_segm.eaf"
20796,21093,297,"prep","antwerp3a_run2_segm.eaf"
21093,21656,563,"retr","antwerp3a_run2_segm.eaf"
21656,29562,7906,"rest","antwerp3a_run2_segm.eaf"
29562,32578,3016,"rest","antwerp3a_run2_segm.eaf"
32578,33156,578,"prep","antwerp3a_run2_segm.eaf"
33156,34437,1281,"hold","antwerp3a_run2_segm.eaf"
34437,35781,1344,"stroke","antwerp3a_run2_segm.eaf"
35781,37203,1422,"hold","antwerp3a_run2_segm.eaf"
37203,37765,562,"prep","antwerp3a_run2_segm.eaf"
37765,39458,1693,"stroke","antwerp3a_run2_segm.eaf"
39458,44937,5479,"rest","antwerp3a_run2_segm.eaf"
44937,48906,3969,"rest","antwerp3a_run2_segm.eaf"
52781,55696,2915,"rest","antwerp3a_run2_segm.eaf"

1382,3510,2128,"stroke","antwerp3b_run1_segm.eaf"
3510,4617,1107,"hold","antwerp3b_run1_segm.eaf"
4617,5787,1170,"stroke","antwerp3b_run1_segm.eaf"
5787,6805,1018,"retr","antwerp3b_run1_segm.eaf"
6805,8234,1429,"prep","antwerp3b_run1_segm.eaf"
8234,10085,1851,"stroke","antwerp3b_run1_segm.eaf"
10085,10936,851,"retr","antwerp3b_run1_segm.eaf"
11617,12531,914,"prep","antwerp3b_run1_segm.eaf"
12531,15617,3086,"stroke","antwerp3b_run1_segm.eaf"
15617,16021,404,"prep","antwerp3b_run1_segm.eaf"
16021,18687,2666,"stroke","antwerp3b_run1_segm.eaf"
18687,22137,3450,"stroke","antwerp3b_run1_segm.eaf"
22137,30997,8860,"hold","antwerp3b_run1_segm.eaf"
30997,31590,593,"prep","antwerp3b_run1_segm.eaf"
31590,34357,2767,"stroke","antwerp3b_run1_segm.eaf"
