"","File","ges.freq","descr.dur.sec","ges.rate.min","PoT","stroke.freq","hold.freq","prep.freq","retr.freq","stroke.rate.min","hold.rate.min","prep.rate.min","retr.rate.min","item","gender","language","condition","run","subject"
"61","leuven8a_run1","29","129.84","13.4011090573013","0.606900800985829","51","54","80","58","23.5674676524954","24.9537892791128","36.9685767097967","26.8022181146026","gym","m","dutch","nns","run1","LE8a"
"62","leuven8a_run2","29","144.84","12.013256006628","0.794531897265949","55","60","90","60","22.7837613918807","24.8550124275062","37.2825186412593","24.8550124275062","lake","m","dutch","nns","run2","LE8a"
"63","leuven8b_run1","18","115.24","9.37174592155502","0.487330787920861","35","37","57","48","18.2228392919125","19.2641443943075","29.6771954182576","24.99132245748","forest","f","french","nns","run1","LE8b"
"64","leuven8b_run2","15","88.84","10.130571814498","0.734804142278253","34","35","44","41","22.9626294461954","23.6380009004953","29.7163439891941","27.6902296262945","playground","f","french","nns","run2","LE8b"
"65","leuven9a_run1","29","88.68","19.6211096075778","0.788452864230943","59","72","75","65","39.9188092016238","48.7144790257104","50.744248985115","43.978349120433","gym","f","dutch","nns","run1","LE9a"
"66","leuven9a_run2","16","62.6","15.3354632587859","0.803194888178914","28","28","43","33","26.8370607028754","26.8370607028754","41.2140575079872","31.629392971246","lake","f","dutch","nns","run2","LE9a"
"67","leuven9b_run1","23","81.44","16.9449901768173","0.674852652259332","40","48","58","42","29.4695481335953","35.3634577603143","42.7308447937132","30.9430255402751","forest","f","french","nns","run1","LE9b"
"68","leuven9b_run2","24","69.84","20.6185567010309","0.819587628865979","53","57","58","60","45.53264604811","48.9690721649485","49.8281786941581","51.5463917525773","playground","f","french","nns","run2","LE9b"
"69","luik1a_run1","13","51.24","15.2224824355972","0.719750195160031","21","32","35","22","24.5901639344262","37.4707259953162","40.9836065573771","25.7611241217799","forest","f","french","ns","run1","LU1a"
"70","luik1a_run2","18","44","24.5454545454545","0.699090909090909","31","31","46","46","42.2727272727273","42.2727272727273","62.7272727272727","62.7272727272727","playground","f","french","ns","run2","LU1a"
"71","luik1b_run1","22","89.16","14.8048452220727","0.62090623598026","36","35","42","45","24.2261103633917","23.5531628532974","28.2637954239569","30.2826379542396","gym","f","french","ns","run1","LU1b"
"72","luik1b_run2","16","74.2","12.9380053908356","0.695956873315364","24","24","34","34","19.4070080862534","19.4070080862534","27.4932614555256","27.4932614555256","lake","f","french","ns","run2","LU1b"
"73","luik2a_run1","16","54.48","17.6211453744493","0.8928046989721","17","21","31","21","18.7224669603524","23.1277533039648","34.1409691629956","23.1277533039648","forest","m","french","ns","run1","LU2a"
"74","luik2a_run2","14","62.6","13.4185303514377","0.704792332268371","29","41","47","46","27.7955271565495","39.297124600639","45.0479233226837","44.0894568690096","playground","m","french","ns","run2","LU2a"
"75","luik2b_run1","20","79.2","15.1515151515152","0.612121212121212","44","59","57","45","33.3333333333333","44.6969696969697","43.1818181818182","34.0909090909091","gym","f","french","ns","run1","LU2b"
"76","luik2b_run2","27","88.56","18.2926829268293","0.917795844625113","57","66","78","52","38.6178861788618","44.7154471544715","52.8455284552846","35.230352303523","lake","f","french","ns","run2","LU2b"
"77","luik3a_run1","18","53.08","20.3466465712133","0.85380557648832","30","34","40","34","33.9110776186888","38.4325546345139","45.2147701582517","38.4325546345139","forest","f","french","ns","run1","LU3a"
"78","luik3a_run2","17","56.56","18.033946251768","0.516973125884017","26","26","33","45","27.5813295615276","27.5813295615276","35.007072135785","47.7369165487977","lake","f","french","ns","run2","LU3a"
"79","luik3b_run1","5","38.72","7.74793388429752","0.334710743801653","8","8","8","10","12.396694214876","12.396694214876","12.396694214876","15.495867768595","playground","f","french","ns","run1","LU3b"
"80","luik3b_run2","12","54.96","13.1004366812227","0.545123726346434","16","15","22","23","17.4672489082969","16.3755458515284","24.0174672489083","25.1091703056769","gym","f","french","ns","run2","LU3b"
"81","luik4a_run1","12","57.72","12.4740124740125","0.547470547470547","20","34","30","22","20.7900207900208","35.3430353430353","31.1850311850312","22.8690228690229","forest","f","french","ns","run1","LU4a"
"82","luik4a_run2","11","53.16","12.4153498871332","0.425131677953348","21","21","25","26","23.7020316027088","23.7020316027088","28.2167042889391","29.3453724604966","playground","f","french","ns","run2","LU4a"
"83","luik4b_run1","6","29.96","12.0160213618158","0.344459279038718","9","9","10","10","18.0240320427236","18.0240320427236","20.0267022696929","20.0267022696929","gym","m","french","ns","run1","LU4b"
"84","luik4b_run2","14","45.84","18.3246073298429","0.418848167539267","15","16","26","17","19.6335078534031","20.9424083769633","34.0314136125654","22.2513089005236","lake","m","french","ns","run2","LU4b"
"85","luik5b_run1","7","84.08","4.99524262607041","0.158896289248335","13","13","16","20","9.27687916270219","9.27687916270219","11.4176974310181","14.2721217887726","gym","f","french","ns","run1","LU5b"
"86","luik5b_run2","10","82.44","7.27802037845706","0.334788937409025","19","21","21","21","13.8282387190684","15.2838427947598","15.2838427947598","15.2838427947598","lake","f","french","ns","run2","LU5b"
